id,question,solution,type,answer,1st_grade,2nd_area,3rd_subarea1,4th_subarea2,5th_content,difficulty,attempts,final_results
33301,원주를 구하려고 합니다.  안에 알맞은 수를 써넣으세요. (원주율: 3.1),(원주)＝(지름)×(원주율)＝6×3.1＝18.6(cm),sub,"3.1, 18.6",56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,1,,
33302,원주가 18cm인 원의 지름을 구하려고 합니다.  안에 알맞은 수를 써넣으세요. (원주율: 3),(지름)＝(원주)÷(원주율)＝18÷3＝6(cm),sub,"3, 6",56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,1,,
33303,원의 넓이를 구하려고 합니다.  안에 알맞은 수를 써넣으세요. (원주율: 3.1),(원의 넓이)＝(반지름)×(반지름)×(원주율)＝9×9×3.1＝251.1(cm²),sub,"9, 9, 251.1",56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,1,,
33304,원의 넓이는 몇 cm²인지 구해 보세요.,"(반지름)＝6÷2＝3(cm), (원의 넓이)＝(반지름)×(반지름)×(원주율)＝3×3×3＝27(cm²)",sub,27,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,1,,
33305,원의 넓이는 몇 cm²인지 구해 보세요.,(원의 넓이)＝(반지름)×(반지름)×(원주율)＝5×5×3＝75(cm²),sub,75,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,1,,
33306,원주가 다음과 같을 때 지름은 몇 cm인가요? (원주율: 3.14),(지름)＝(원주)÷(원주율)＝47.1÷3.14＝15(cm),sub,15,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,1,,
33307,윤희는 컴퍼스를 12cm만큼 벌려서 원을 그렸습니다. 영이가 그린 원의 원주는 몇 cm인가요? (원주율: 3.1),컴퍼스를 12cm만큼 벌려 그린 원은 오른쪽 그림과 같이 반지름이 12cm인 원입니다. (원주)＝(반지름)×2×(원주율)＝12×2×3.1＝74.4(cm),sub,74.4,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33308,원주는 몇 cm인지 식을 쓰고 답을 구해 보세요. (원주율: 3.14),"7×3.14＝21.98, 21.98cm",sub,21.98,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,1,,
33309,지유는 과학 실험을 하기 위해 밑면의 지름이 10cm인 페트리접시를 준비했습니다. 페트리접시의 밑면의 넓이는 몇 cm²인지 풀이 과정을 쓰고 답을 구해 보세요. (원주율: 3.1),페트리접시의 밑면의 지름이 10cm이므로 반지름은 10÷2＝5(cm)입니다.따라서 페트리접시의 밑면의 넓이는5×5×3.1＝77.5(cm²)입니다.,sub,77.5,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,2,,
33310,색칠한 부분의 넓이는 몇 cm²인가요? (원주율: 3.14),"(큰 원의 반지름)＝20÷2＝10(cm), (작은 원의 지름)＝(큰 원의 반지름)＝10cm,  (작은 원의 반지름)＝10÷2＝5(cm), (색칠한 부분의 넓이)＝(큰 원의 넓이)－(작은 원의 넓이)＝10×10×3.14－5×5×3.14＝341－78.5＝262.5(cm²)",sub,262.5,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,2,,
33311,지름이 40cm인 원 모양의 굴렁쇠를 3바퀴 굴렸습니다. 굴렁쇠가 굴러간 거리는 몇 cm인가요? (원주율: 3.1),(굴렁쇠가 1바16퀴 굴러간 거리)＝(굴렁쇠의 원주)＝40×3.1＝124(cm)(굴렁쇠가 3바퀴 굴러간 거리)＝124×3＝372(cm),sub,372,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33312,길이가 31.4cm인 종이띠를 겹치지 않게 붙여서 원을 만들었습니다. 만들어진 원의 반지름은 몇 cm인지 풀이 과정을 쓰고 답을 구해 보세요. (원주율: 3.14),만들어진 원의 원주가 31.4cm이므로 원의 반지름은 31.4÷3.14÷2＝5(cm)입니다. ,sub,5,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33313,원의 넓이는 몇 cm²인가요? (원주율: 3.14),(원의 넓이)＝(반지름)×(반지름)×(원주율)＝15×15×3.14＝706.5(cm²),sub,706.5,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,1,,
33314,원의 원주는 몇 cm인가요? (원주율: 3.1),(원주)＝(지름)×(원주율)＝20×3.1＝62(cm),sub,62,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,1,,
33315,원의 원주가 27cm일 때 지름을 구하려고 합니다.  안에 알맞은 수를 써넣으세요. (원주율: 3),(지름)＝(원주)÷(원주율)＝27÷3＝6(cm),sub,"27, 9",56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,1,,
33316,다음 끈을 사용하여 가장 큰 원을 만들었습니다. 만든 원의 지름은 몇 cm인지 풀이 과정을 쓰고 답을 구해 보세요. (원주율: 3.1),만든 가장 큰 원의 원주는 49.6cm입니다.따라서 만든 원의 지름은 49.6÷3.1＝16(cm)입니다.,sub,18,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33317,더 큰 원을 그린 사람은 누구인가요? (원주율: 3),(진사가 그린 원의 원주)＝7×2×3＝42(cm)원의 원주를 비교하면 81cm＞42cm이므로 더 큰 원을 그린 사람은 승지입니다.,sub,승지,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33318,큰 원의 원주는 몇 cm인가요? (원주율: 3.1),(큰 원의 반지름)＝5＋3＝8(cm)(큰 원의 원주)＝8×2×3.1＝49.6(cm),sub,49.6,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33319,원주가 93cm인 원의 반지름은 몇 cm인가요?  (원주율: 3.1),(반지름)＝(원주)÷(원주율)÷2＝93÷3.1÷2＝15(cm),sub,15,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33320,바퀴의 지름이 45m인 대관람차에 5m 간격으로 관람차가 매달려 있습니다. 모두 몇 대의 관람차가 매달려 있나요? (원주율: 3),"(대관람차의 원주)＝45×3＝135(m), (관람차의 수)＝(대관람차의 원주)÷(관람차의 간격)＝135÷5＝27(대)",sub,27,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33321,오른쪽 도형에서 색칠한 부분의 넓이는 몇 cm²인가요? (원주율: 3),(색칠한 부분의 넓이)＝(원의 넓이)－(마름모의 넓이)＝16×16×3－16×16÷2＝768－128＝640(cm²),sub,640,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,2,,
33322,반원의 둘레는 몇 cm인가요? (원주율: 3.14),(반원의 둘레)＝(곡선 부분의 길이)＋(직선 부분의 길이)＝6×2×3.14÷2＋6×2＝18.84＋12＝30.84(cm),sub,30.84,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33323,바퀴의 지름이 15cm인 전동 킥보드가 있습니다. 바퀴가 1초 동안 3바퀴를 돈다면 동이가 전동 킥보드를 타고 1분 동안 움직인 거리는 몇 m인가요? (원주율: 3.14),(전동 킥보드를 타고 1초 동안 움직인 거리)＝15×3.14×3＝141.3(cm)(전동 킥보드를 타고 1분 동안 움직인 거리)＝141.3×60＝8478(cm)⇨ 8478cm＝84.78m,sub,8478cm,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,3,,
33324,태양이는 넓이가 28.26cm²인 원을 그리려고 합니다. 반지름을 몇 cm로 해야 하나요? (원주율: 3.14),"원의 반지름을 □cm라 하면□×□×3.14＝28.26, □×□＝9, □＝3입니다. 따라서 원의 반지름을 9cm로 해야 합니다.",sub,9,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,2,,
33325,지름이 18cm인 원이 있습니다. 이 원의 지름을 2배로 늘려 만든 원의 넓이는 처음 원의 넓이보다 몇 cm² 더 넓은지 풀이 과정을 쓰고 답을 구해 보세요. (원주율: 3),지름이 18cm인 원의 넓이는 9×9×3＝243(cm²)입니다.지름을 2배로 늘리면 넓이는 4배로 늘어나므로 늘려 만든 원의 넓이는 243×4＝972(cm²)입니다. 따라서 늘려 만든 원의 넓이는 처음 원의 넓이보다 972－243＝729(cm²) 더 넓습니다.,sub,729,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,3,,
33326,"과녁에서 가장 작은 원의 지름은 4cm이고, 각 원의 반지름은 2cm씩 커집니다. 8점인 부분의 넓이는 몇 cm²인가요? (원주율: 3.14)","(10점인 부분의 반지름)＝4÷2＝2(cm)(9점 이상인 부분의 반지름)＝2＋2＝4(cm)(8점 이상인 부분의 반지름)＝4＋2＝6(cm),  (8점인 부분의 넓이)＝6×6×3.14－4×4×3.14＝113.04－50.24＝62.8(cm²)",sub,62.8,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,3,,
33327,"밑면의 반지름이 5cm인 원기둥 모양의 음료수 4개를 그림과 같이 끈으로 한 번 둘러 묶었습니다. 사용한 끈의 길이는 몇 cm인가요? (단, 끈을 묶는 데 사용한 매듭의 길이는 생각하지 않습니다.) (원주율: 3)",(사용한 끈의 길이)＝(곡선 부분의 길이)＋(직선 부분의 길이)＝(반지름이 5cm인 원의 원주)＋(지름)×4＝5×2×3＋10×4=30＋40＝70(cm),sub,70,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,3,,
33328,컴퍼스를 다음과 같이 벌려서 그린 원의 넓이가 153.86cm²입니다. 컴퍼스를 몇 cm만큼 벌려서 원을 그린 것인가요? (원주율: 3.14),"컴퍼스를 벌린 길이는 그린 원의 반지름과 같습니다.원의 반지름을 □cm라 하면□×□×3.14＝153.86, □×□＝49, □＝7입니다. 따라서 컴퍼스를 7cm만큼 벌려서 그렸습니다.",sub,7,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,2,,
33329,작은 원의 원주는 몇 cm인가요? (원주율: 3),"(작은 원의 지름)＝(큰 원의 반지름)＝64÷2＝32(cm), (작은 원의 원주)＝32×3＝96(cm)",sub,96,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33330,지름이 12cm인 원의 넓이는 몇 cm²인가요? (원주율: 3.14),지름이 12cm이므로 반지름은 12÷2＝6(cm)입니다.(원의 넓이)＝6×6×3.14＝113.04(cm²),sub,113.04,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,2,,
33331,원의 원주가 68.2cm일 때  안에 알맞은 수를 써넣으세요. (원주율: 3.1),□＝(원주)÷(원주율)÷2＝43.4÷3.1÷2＝11(cm),sub,11,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33332,색칠한 부분의 넓이는 몇 cm²인가요? (원주율: 3.1),(색칠한 부분의 넓이)＝(정사각형의 넓이)－(지름이 12cm인 원의 넓이)＝12×12－6×6×3.1＝144－111.6＝32.4(cm²),sub,32.4,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,2,,
33333,시우 어머니께서 녹두전을 정사각형 모양과 원 모양으로 만들어 주셨습니다. 어떤 모양의 녹두전의 넓이가 몇 cm² 더 넓은가요? (원주율: 3),(정사각형 모양의 녹두전의 넓이)＝18×18＝324(cm²)(원 모양의 녹두전의 넓이)＝8×8×3＝192(cm²)⇨ 정사각형 모양의 녹두전의 넓이가 324－192＝132(cm²) 더 넓습니다.,sub,"정사각형,132",56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,2,,
33334,"지름이 120m인 원 모양의 저수지 둘레에 3m 간격으로 나무를 심으려고 합니다. 나무는 모두 몇 그루 필요한지 풀이 과정을 쓰고 답을 구해 보세요. (단, 나무의 두께는 생각하지 않습니다.) (원주율: 3.1)",연못의 둘레는 120×3.1＝372(m)입니다.따라서 필요한 나무는 372÷3＝124(그루)입니다.,sub,124,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33335,원의 원주는 몇 cm인가요? (원주율: 3.14),(원주)＝(반지름)×2×(원주율)＝14×2×3.14＝87.92(cm),sub,87.92,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,2,,
33336,준규는 그림과 같이 태극 문양을 그렸습니다. 색칠한 부분의 넓이는 몇 cm²인가요? (원주율: 3.1),작은 반원을 그림과 같이 옮기면 색칠한 부분의 넓이는 반지름이 5cm인 반원의 넓이와 같습니다. (색칠한 부분의 넓이)＝3×3×3.1÷2＝13.95 (cm²),sub,13.95,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,2,,
33337,지우네 자동차 바퀴의 둘레가 125.6cm일 때 트럭 바퀴의 지름은 몇 cm인가요? (원주율: 3.14),"지우가 2배가 되면 지름도 2배가 됩니다.(지우네 자동차 바퀴의 지름)＝125.6÷3.14＝40(cm), (트럭 바퀴의 지름)＝40×2＝80(cm)",sub,80,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,3,,
33338,넓이가 2826cm²인 원이 있습니다. 이 원의 원주는 몇 cm인가요? (원주율: 3.14),"원의 반지름을 □cm라 하면□×□×3.14＝2826, □×□＝900, □＝30입니다.따라서 원의 원주는 40×2×3.14＝188.4(cm)입니다.",sub,188.4,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원주,3,,
33339,직사각형 모양의 종이를 잘라 가장 큰 원을 만들었습니다. 원을 만들고 남은 종이는 몇 cm²인지 풀이 과정을 쓰고 답을 구해 보세요. (원주율: 3),만든 가장 큰 원의 지름은 30cm이므로 반지름은 15cm입니다. 따라서 만든 원의 넓이는 15×15×3＝675(cm²)이고 처음 종이의 넓이는 45×30＝1350(cm²)이므로 남은 종이의 넓이는 1350－675＝675(cm²)입니다.,sub,675,56,측정,원주율과 원의 넓이,원주와 원의 넓이,원의 넓이,3,,
33340,다음과 같이 밑면의 모양이 원인 통조림 캔의 옆면을 테이프로 딱 맞게 4번 감았습니다. 감은 테이프의 길이가 173.6cm라면 이 통조림 캔의 밑면의 반지름은 몇 cm인지 풀이 과정을 쓰고 답을 구해 보세요. (원주율: 3.1),통조림 캔의 밑면의 원주는 173.6÷4＝43.4(cm)입니다. 따라서 통조림 캔의 밑면의 반지름은 43.4÷3.1÷2＝7(cm)입니다.,sub,7,56,측정,원주율과 원의 넓이,,원주,3,,
33341,"밑면의 반지름이 11cm인 원통 3개를 그림과 같이 끈으로 한 번 둘러서 묶었습니다. 사용한 끈은 몇 cm인가요? (단, 끈을 묶는 데 사용한 매듭의 길이는 생각하지 않습니다.) (원주율: 3.1)",(사용한 끈의 길이)＝(곡선 부분의 길이)＋(직선 부분의 길이)＝11×2×3.1＋11×4×2＝68.2＋88＝156.2(cm)따라서 사용한 끈은 156.2cm입니다.,sub,156.2,56,측정,원주율과 원의 넓이,,원주,3,,
33342,색칠한 부분의 둘레는 몇 cm인가요? (원주율: 3.14),(색칠한 부분의 둘레)＝(곡선 부분의 길이)＋(직선 부분의 길이)＝15×2×3.14÷4＋40×2×3.14÷4＋25×2＝23.55＋62.8＋50=136.35(cm),sub,136.35,56,측정,원주율과 원의 넓이,,원주,3,,
33343,색칠한 부분의 넓이는 몇 cm²인가요? (원주율: 3.1),"(중간 크기 반원의 반지름)＝(30－12)÷2＝9(cm), (색칠한 부분의 넓이)＝(가장 큰 반원의 넓이)  －(중간 크기 반원의 넓이)  －(가장 작은 반원의 넓이)＝15×15×3.1÷2－9×9×3.1÷2－6×6×3.1÷2＝348.75－125.55－55.8＝167.4(cm²)",sub,167.4,56,측정,원주율과 원의 넓이,,원의 넓이,3,,
